t_s,ia_ufv_pu,ib_ufv_pu,ic_ufv_pu,va_ufv_pu,vb_ufv_pu,vc_ufv_pu
0,-3.35286551713444e-19,-1.649515967816e-18,1.98480251952944e-18,1.03483503615364e-13,5.09109866610385e-13,-6.12593370225749e-13
5e-06,-3.92823170010709e-06,1.94837928182913e-06,1.97985241827796e-06,-0.000127035183741183,6.37988841887065e-05,6.32362995525877e-05
1e-05,-1.5522943428818e-05,7.68266608501456e-06,7.84027734380341e-06,-0.000375834276368606,0.000189045626983137,0.000186788649383605
1.5e-05,-3.84006932584434e-05,1.89629883914857e-05,1.94377048669577e-05,-0.000741291134312707,0.000373485834326805,0.000367805299986989
2e-05,-7.60602352882253e-05,3.74730750996114e-05,3.85871601886139e-05,-0.00121836880659853,0.000614918721701507,0.000603450084897137
2.5e-05,-0.000131886107055531,6.48208912511288e-05,6.7065215804402e-05,-0.0018021040389261,0.000911203804474896,0.000890900234451289
3e-05,-0.0002091525058417,0.000102539220489294,0.000106613285352406,-0.00248760111044685,0.00126026193723892,0.00122733917320904
3.5e-05,-0.000311027435648443,0.000152086209362685,0.000158941226285758,-0.00327002588328537,0.00166007606823218,0.00160994981505227
4e-05,-0.000436671909350468,0.000212893291407268,0.0002237786179432,-0.0040171531347948,0.0020449682129252,0.00197218492186961
4.5e-05,-0.000585362845658482,0.000284424838417837,0.000300938007240645,-0.00472911189622386,0.00241547497731931,0.00231363691890455
5e-05,-0.000756430417919581,0.000366144946611209,0.000390285471308373,-0.00540589449904751,0.00277210445487794,0.00263379004416957
5.5e-05,-0.000949260256424065,0.000457516588962047,0.000491743667462018,-0.0060474421482984,0.00311538088488813,0.00293206126341027
6e-05,-0.00116329630929036,0.000558001067603547,0.000605295241686818,-0.00665363146297593,0.00344583927553867,0.00320779218743726
6.5e-05,-0.00139804370696866,0.000667057470725979,0.000730986236242681,-0.00722427273549535,0.00376402535613055,0.00346024737936479
7e-05,-0.00165307157311817,0.000784142137463708,0.000868929435654461,-0.0077591091756438,0.00407049548487487,0.00368861369076894
7.5e-05,-0.00192801573794961,0.000908708140775329,0.00101930759717428,-0.00825781690540246,0.00436581639448235,0.00389200051092011
8e-05,-0.00222258131110381,0.00104020479830738,0.00118237651279644,-0.0087200056933574,0.00465056477420065,0.00406944091915675
8.5e-05,-0.00254045025389173,0.00118002981176421,0.00136042044212752,-0.00927266762153431,0.00498905029419479,0.00428361732733908
9e-05,-0.00288516523415405,0.00132946970584886,0.0015556955283052,-0.00991042899256652,0.00537943974075007,0.00453098925181701
9.5e-05,-0.00326019892928612,0.00148973317749527,0.00177046575179085,-0.0106280397899739,0.00581999943805979,0.00480804035191376
0.0001,-0.00366895829886723,0.00166195214227528,0.00200700615659195,-0.0114202878734759,0.00630904957157143,0.00511123830190355
0.000105,-0.00411478794629947,0.00184718256178811,0.00226760538451135,-0.0122820134578438,0.00684496821546071,0.00543704524238226
